Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;2950;8.84;0.0030
ldhp2;1;5825;1753.88;<.0001
ldhp*st;1;5438;463.92;<.0001
ldhp*rdhp;1;5559;82.43;<.0001
ldhp*sdom;7;2483;31.71;<.0001
ldhp*tmoy;1;2461;106.12;<.0001
ldhp*vp;12;2576;6.95;<.0001
ldhp*ptot;1;2581;29.25;<.0001
