veg_pot;vp;absent
FC1;MS2;1
FE1;MS2;1
FE2;MS2;
FE3;MS2;1
FE4;MS2;1
FE5;MS2;1
FE6;MS2;1
FO1;MS2;
ME1;MS2;
MF1;MS2;1
MJ1;MS2;
MJ2;MS2;
MS1;MS2;
MS2;MS2;
MS6;MS2;
RB1;RB1;
RC3;RS3;
RE1;RE2;
RE2;RE2;
RE3;RE3;
RP1;MS2;
RS1;RS1;
RS2;RS2;
RS3;RS3;
RS5;RS2;
RS7;RS2;
RT1;MS2;1
