Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;6036;176.65;<.0001
ldhp2;1;11E3;739.03;<.0001
ldhp*st;1;11E3;571.62;<.0001
ldhp*rdhp;1;1E4;275.45;<.0001
ldhp*vp;11;6167;30.82;<.0001
ldhp*tmoy;1;5443;98.94;<.0001
ldhp*sdom;7;5860;4.57;<.0001
ldhp*milieu;7;5795;4.77;<.0001
ldhp*ptot;1;4695;17.23;<.0001
