Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;6599;36.75;<.0001
ldhp2;1;11E3;2483.33;<.0001
ldhp*st;1;11E3;1783.05;<.0001
ldhp*rdhp;1;11E3;615.17;<.0001
ldhp*sdom;10;5343;11.10;<.0001
ldhp*vp;14;5574;16.01;<.0001
ldhp*ptot;1;5567;59.58;<.0001
ldhp*milieu;7;5843;5.82;<.0001
ldhp*tmoy;1;5491;24.17;<.0001
