Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;189;116.73;<.0001
ldhp*st;1;318;152.36;<.0001
ldhp*tmoy;1;185;23.04;<.0001
ldhp*vp;1;150;19.67;<.0001
