SDOM_BIO;sdom;absent
1OUEST;1;
2EST;2EST;
2OUEST;2OUEST;
3EST;3EST;
3OUEST;3OUEST;
4EST;4EST;
4OUEST;4OUEST;
5EST;4EST;
5OUEST;4OUEST;
6EST;4EST;1
6OUEST;4OUEST;1
