Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;1461;6.85;0.0090
ldhp2;1;1505;197.44;<.0001
ldhp*st;1;1466;112.22;<.0001
ldhp*rdhp;1;1508;31.33;<.0001
ldhp*sdom;6;812;15.04;<.0001
ldhp*vp;6;815;10.15;<.0001
ldhp*alt;1;797;27.75;<.0001
