Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;794;77.09;<.0001
ldhp2;1;776;18.95;<.0001
ldhp*st;1;855;43.38;<.0001
ldhp*milieu;1;399;23.81;<.0001
