Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;369;78.17;<.0001
ldhp2;1;350;218.01;<.0001
ldhp*st;1;362;101.26;<.0001
ldhp*rdhp;1;319;27.27;<.0001
