Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;1923;174.70;<.0001
ldhp2;1;1849;784.08;<.0001
ldhp*st;1;1866;344.18;<.0001
ldhp*rdhp;1;1558;81.85;<.0001
ldhp*pert;2;1019;27.79;<.0001
ldhp*sdom;6;971;11.20;<.0001
