veg_pot;vp;absent
FC1;FE6;
FE1;FE2;
FE2;FE2;
FE3;FE2;
FE4;FE2;1
FE5;FE6;
FE6;FE6;
FO1;MJ2;
ME1;MJ2;1
MF1;MJ2;
MJ1;MJ2;
MJ2;MJ2;
MS1;MS2;
MS2;MS2;
MS4;MS2;1
MS6;MS2;
MS7;MS2;1
RB1;MS2;
RB2;MS2;1
RB5;MS2;1
RC3;RS5;
RE1;RS5;1
RE2;RS5;
RE3;RS5;
RE4;RS5;1
RE7;RS5;1
RP1;RP1;
RS1;RS5;
RS2;RS5;
RS3;RS5;
RS4;RS5;1
RS5;RS5;
RS7;RS5;1
RT1;RP1;
