Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;1782;15.42;<.0001
ldhp2;1;3209;573.83;<.0001
ldhp*st;1;3351;65.61;<.0001
ldhp*rdhp;1;3141;104.62;<.0001
ldhp*alt;1;1269;67.90;<.0001
ldhp*ptot;1;1207;17.28;<.0001
ldhp*vp;5;1633;5.02;0.0001
