SDOM_BIO;sdom;absent
1OUEST;1;
2EST;2EST;
2OUEST;2OUEST;
3EST;3EST;
3OUEST;1;1
4EST;1;1
4OUEST;4OUEST;
5EST;1;1
5OUEST;1;1
6EST;1;1
6OUEST;1;1
