Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;252;18.08;<.0001
ldhp2;1;206;59.71;<.0001
ldhp*st;1;291;50.92;<.0001
ldhp*vp;1;151;26.00;<.0001
