veg_pot;vp;absent
FC1;MJ2;1
FE1;MJ2;
FE2;MJ2;1
FE3;MJ2;
FE4;MJ2;1
FE5;MJ2;1
FE6;MJ2;1
FO1;MJ2;
ME1;ME1;
MF1;MJ2;1
MJ1;MJ2;
MJ2;MJ2;
MS1;MJ2;
MS2;MS2;
MS6;MS2;
RB1;MS2;
RC3;RS3;1
RE1;RE1;
RE2;RE2;
RE3;RE3;
RP1;MJ2;
RS1;RS1;
RS2;RS2;
RS3;RE3;
RS5;RS2;
RT1;MJ2;1
