Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;6015;234.70;<.0001
ldhp2;1;7701;2400.75;<.0001
ldhp*st;1;8005;3917.85;<.0001
ldhp*rdhp;1;8778;701.23;<.0001
ldhp*pert;2;5936;50.11;<.0001
ldhp*sdom;8;3021;18.26;<.0001
ldhp*milieu;8;3361;8.56;<.0001
ldhp*vp;7;2906;6.46;<.0001
ldhp*alt;1;3142;17.68;<.0001
