SDOM_BIO;sdom;absent
1OUEST;1;
2EST;2EST;
2OUEST;2OUEST;
3EST;3EST;
3OUEST;3OUEST;
4EST;3EST;
4OUEST;3EST;1
5EST;3EST;1
5OUEST;3EST;1
6EST;3EST;1
6OUEST;3EST;1
