Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;386;37.85;<.0001
ldhp2;1;383;57.53;<.0001
ldhp*st;1;446;55.83;<.0001
ldhp*milieu;2;237;15.25;<.0001
