Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;7363;89.52;<.0001
ldhp2;1;19E3;1941.65;<.0001
ldhp*st;1;19E3;316.10;<.0001
ldhp*rdhp;1;19E3;633.44;<.0001
ldhp*tmoy;1;6591;241.28;<.0001
ldhp*vp;10;8141;39.19;<.0001
ldhp*sdom;6;6554;14.22;<.0001
ldhp*ptot;1;5782;30.41;<.0001
ldhp*milieu;4;7022;6.10;<.0001
