veg_pot;vp;absent
FC1;FE6;
FE1;FE1;
FE2;FE2;
FE3;FE3;
FE4;FE4;
FE5;FE5;
FE6;FE6;
FO1;MJ2;
ME1;MJ2;1
MF1;MJ2;
MJ1;MJ1;
MJ2;MJ2;
MS1;MS1;
MS2;RS1;
MS4;MS1;1
MS6;RS1;
MS7;MS1;1
RB1;RS1;
RB2;MS1;1
RB5;MS1;1
RC3;MS1;1
RE1;MS1;1
RE2;RS1;
RE3;MS1;1
RE4;MS1;1
RE7;MS1;1
RP1;RT1;
RS1;RS1;
RS2;RS1;
RS3;RS1;
RS4;MS1;1
RS5;RS1;
RS7;MS1;1
RT1;RT1;
