Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;1970;9.99;0.0016
ldhp2;1;2467;1219.49;<.0001
ldhp*st;1;2817;175.25;<.0001
ldhp*rdhp;1;2473;95.02;<.0001
ldhp*ptot;1;1513;118.95;<.0001
ldhp*vp;10;1613;6.23;<.0001
ldhp*alt;1;1644;22.98;<.0001
