Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;12E3;1710.32;<.0001
ldhp2;1;12E3;4965.10;<.0001
ldhp*st;1;12E3;1481.06;<.0001
ldhp*rdhp;1;11E3;56.19;<.0001
ldhp*sdom;9;7076;29.97;<.0001
ldhp*vp;17;7597;13.90;<.0001
ldhp*tmoy;1;7209;38.02;<.0001
ldhp*pert;2;6697;10.99;<.0001
