estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
-2.8976683762689500;ldhp;;;;;0.1421287371569700;8683.018162060940000;-20.3876319049298000;0.0000000000000000
2.2243010361023100;ldhp2;;;;;0.0315667297124556;11786.03181479270000;70.4634612569526000;0.0000000000000000
0.0257844326185063;ldhp*st;;;;;0.0006699944578157;11920.05844767830000;38.4845461297834000;0.0000000000000000
-0.2079077696133600;ldhp*rdhp;;;;;0.0277361255154751;10629.18149589740000;-7.4959196985665800;0.0000000000000711
-0.3531232181400100;ldhp*sdom;;1;;;0.1438130511403700;6689.709436883560000;-2.4554323501234100;0.0140967834941648
-0.4791098145052400;ldhp*sdom;;2EST;;;0.1292407392387000;7029.407648954760000;-3.7071113746906400;0.0002112492833900
-0.1982653958322400;ldhp*sdom;;2OUEST;;;0.1206587696356000;6942.522770633780000;-1.6431909295198100;0.1003887196299500
-0.2901551193152200;ldhp*sdom;;3EST;;;0.1030336700816400;6869.832356338530000;-2.8161194208194900;0.0048746164683547
0.0540259734056014;ldhp*sdom;;3OUEST;;;0.1017692976578800;6951.172626605830000;0.5308671146303900;0.5955278277877400
-0.2721258565561900;ldhp*sdom;;4EST;;;0.0933129868624700;6910.779903659650000;-2.9162699181118500;0.0035538339318666
-0.0381055547292063;ldhp*sdom;;4OUEST;;;0.0919894619155500;6841.411319976060000;-0.4142382609454500;0.6787126102238700
-0.3276525855471400;ldhp*sdom;;5EST;;;0.0883731291300800;6826.988561885710000;-3.7076042092482600;0.0002108873864010
0.0204343294297382;ldhp*sdom;;5OUEST;;;0.0898696565577300;6861.758193999240000;0.2273774064843500;0.8201370612897300
0.0000000000000000;ldhp*sdom;;6EST;;;;;;
-0.2596138041298400;ldhp*vp;;;FE3;;0.0996858496200000;7712.308807591940000;-2.6043195209698400;0.0092233447410662
-0.4187400949217100;ldhp*vp;;;FE6;;0.1263035631274000;7874.096470606490000;-3.3153466501917200;0.0009194344289098
-0.1198593775081500;ldhp*vp;;;MF1;;0.1215190980109900;7451.674987121180000;-0.9863418958007100;0.3239973917812300
-0.1968526055215300;ldhp*vp;;;MJ1;;0.0991856077601600;7622.141233497280000;-1.9846892101275200;0.0472148546321337
-0.1370805015437700;ldhp*vp;;;MJ2;;0.0958252531547600;7679.200120677090000;-1.4305258481538600;0.1526068403165800
-0.0655462441869400;ldhp*vp;;;MS1;;0.0978106460968100;7737.168032360080000;-0.6701340478015400;0.5027923417847200
-0.1144737211102400;ldhp*vp;;;MS2;;0.0952727838254700;7709.542796725820000;-1.2015364358402900;0.2295800900645700
-1.3513042884478300;ldhp*vp;;;MS4;;0.1823734441275500;7694.189225162010000;-7.4095452597950400;0.0000000000001402
-0.2870162691065400;ldhp*vp;;;MS6;;0.1055048750833900;7770.185478695510000;-2.7204076482691100;0.0065346555814982
-0.5368901302262200;ldhp*vp;;;RB1;;0.1027486930632300;7642.257611865980000;-5.2252745433543300;0.0000001784929977
-0.4410838345375300;ldhp*vp;;;RB5;;0.1065697130867000;7922.731726376960000;-4.1389229806658100;0.0000352554617700
-0.3716847176576900;ldhp*vp;;;RC3;;0.1096329579809500;7828.569559320330000;-3.3902644287153900;0.0007017031845624
-0.2165466959829100;ldhp*vp;;;RE2;;0.1240152006837500;7513.173820561380000;-1.7461302710392200;0.0808291876950800
-0.3597006556817600;ldhp*vp;;;RP1;;0.1083877096178500;7704.936067206650000;-3.3186479993899800;0.0009087394986750
-0.1464249458179200;ldhp*vp;;;RS1;;0.0989249468955000;7681.011923327180000;-1.4801619855565600;0.1388710360879300
-0.0597265640145097;ldhp*vp;;;RS2;;0.0999104342509700;7674.170650248560000;-0.5978010651467700;0.5499903195938800
-0.1898651756883700;ldhp*vp;;;RS3;;0.1112795735873800;7733.998823201170000;-1.7061997055486200;0.0880110515514600
0.0000000000000000;ldhp*vp;;;RS5;;;;;
0.0793405994032100;ldhp*tmoy;;;;;0.0128679552999813;7209.276210643410000;6.1657503118102300;0.0000000007393416
0.0388424164939607;ldhp*pert;INT;;;;0.0173002248905140;6465.836007323830000;2.2451972006016300;0.0247891327111037
0.0555908399249655;ldhp*pert;MOY;;;;0.0129746235143926;6916.481797628280000;4.2845821201131000;0.0000185563937461
0.0000000000000000;ldhp*pert;NON;;;;;;;
