estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
1.0769402948670900;ldhp;;;;;0.1950681975617700;7384.789737805250000;5.5208399335624700;0.0000000348840701
1.0388995257226400;ldhp2;;;;;0.0371353421308797;11256.56085564980000;27.9760321599071000;0.0000000000000000
0.0216254856267702;ldhp*st;;;;;0.0008499985118610;10660.52420575610000;25.4417923384625000;0.0000000000000000
0.7210722456307700;ldhp*rdhp;;;;;0.1243312067859900;10289.38575558080000;5.7996078721567000;0.0000000068428803
-0.3155935308988100;ldhp2*rdhp;;;;;0.0325016256471198;10204.41013286170000;-9.7100844839366400;0.0000000000000000
0.5116522618209000;ldhp*vp;;;FE2;;0.0827026839664600;6197.597679394730000;6.1866463974537500;0.0000000006538179
0.4007769348026500;ldhp*vp;;;FE3;;0.0669186715378700;6654.755142413280000;5.9890151073282900;0.0000000022212074
0.5775610959658900;ldhp*vp;;;FE4;;0.1105832290245700;6387.210454439770000;5.2228633678036300;0.0000001817503801
0.2142195327051100;ldhp*vp;;;FE6;;0.1192507398780000;6758.023644345570000;1.7963790658596800;0.0724788950525800
0.1025683827655200;ldhp*vp;;;MF1;;0.1034476082688400;6587.277218936820000;0.9915007652855800;0.3214775370047900
0.2043956443667000;ldhp*vp;;;MJ1;;0.0671417318973200;6600.638731998240000;3.0442414663844100;0.0023418680845453
0.0564672476495306;ldhp*vp;;;MJ2;;0.0667304739040000;6685.735319678100000;0.8461988106178200;0.3974721305620300
0.1247471035620500;ldhp*vp;;;MS1;;0.0766654618209300;6588.931440706160000;1.6271617048811500;0.1037505744454300
-0.1947109410669300;ldhp*vp;;;MS2;;0.1197880468421600;6857.226940134630000;-1.6254621909270500;0.1041100680304800
-0.3452664627663700;ldhp*vp;;;RC3;;0.1218618454834200;6961.124379430650000;-2.8332613985674100;0.0046208195895071
-0.1763526384889500;ldhp*vp;;;RS1;;0.0734248718120000;6720.854363626670000;-2.4018106417736900;0.0163411262368069
0.0000000000000000;ldhp*vp;;;RT1;;;;;
0.1408303657024500;ldhp*tmoy;;;;;0.0146685991811229;5417.340114989590000;9.6008053641337700;0.0000000000000000
0.0692983611702700;ldhp*sdom;;2EST;;;0.0964949277965300;5761.666042057450000;0.7181554798029800;0.4726905436428700
-0.1495204619517800;ldhp*sdom;;2OUEST;;;0.1058852145276200;5839.437197328580000;-1.4120995326762100;0.1579739426021400
0.0172158300517256;ldhp*sdom;;3EST;;;0.0795597421597900;5941.767536824170000;0.2163887109783200;0.8286921935685500
0.0516885146968786;ldhp*sdom;;3OUEST;;;0.0780868493704800;5993.404684321120000;0.6619362301537400;0.5080375403969600
-0.1261073701650700;ldhp*sdom;;4EST;;;0.0674889149915900;6067.693537970610000;-1.8685641957762100;0.0617316210541522
0.0013608293915711;ldhp*sdom;;4OUEST;;;0.0754362023091100;5977.510760513380000;0.0180394737528654;0.9856079650998300
-0.1615915558741700;ldhp*sdom;;5EST;;;0.0793641622096200;5956.702879147040000;-2.0360771332450900;0.0417867613092866
0.0000000000000000;ldhp*sdom;;5OUEST;;;;;;
-0.1439753706186500;ldhp*milieu;;;;0;0.0810619061432000;5563.652281966980000;-1.7761162729668900;0.0757683949767400
0.0271478351370292;ldhp*milieu;;;;1;0.0778647058902000;5850.024381276630000;0.3486539225526400;0.7273616872784500
0.0939536575957400;ldhp*milieu;;;;2;0.0664460688052200;5797.992305069030000;1.4139836906101100;0.1574203823842000
0.0094481532918602;ldhp*milieu;;;;3;0.0743780885889400;5938.545364623450000;0.1270287186872300;0.8989219691572400
-0.1093997362608000;ldhp*milieu;;;;4;0.1027195472805500;5711.135131004040000;-1.0650332790311500;0.2869058945484800
0.0780006794105800;ldhp*milieu;;;;5;0.0682396489947900;5828.858963099290000;1.1430404546268400;0.2530687398495900
0.0363628176363088;ldhp*milieu;;;;6;0.0885432412833000;6181.528350605340000;0.4106786368929000;0.6813224281216000
0.0000000000000000;ldhp*milieu;;;;8;;;;
-0.0004860977565299;ldhp*ptot;;;;;0.0001086134212984;4655.576006217970000;-4.4754851722638200;0.0000078057895004
